platform,nama_produk,lokasi,harga
Facebook Marketplace,Baru terdaftar GUNDAM HG GQuuuuuuX (BNIB) Manado,Manado,Rp 350
Facebook Marketplace,Yamaha YZ 125cc Tahun 2024 full option Manado,Manado,Rp 95
Facebook Marketplace,Baru terdaftar Crop Manado,Manado,Rp 25
Facebook Marketplace,"Baru terdaftar Speker center aiwa 3"" Manado",Manado,Rp 150
Facebook Marketplace,2 KT 0 KM - Rumah Manado,Manado,Rp 3.150.000
Facebook Marketplace,Baru terdaftar Nmax new 2021 Manado,Manado,Rp 123
Facebook Marketplace,Baru terdaftar Rokcel Olahraga ada kantong di dalam Manado,Manado,Rp 90
Facebook Marketplace,Baru terdaftar HELM AGV ORI Manado,Manado,Rp 25
Facebook Marketplace,"Baru terdaftar Jual tanah (SHM) dekat jalan.Isi : mata air telaga 9,durian,duku,cengkeh,kelapa + penerangan/listrik Manado",Manado,Rp 850.000.000
Facebook Marketplace,1997 Yamaha YT Manado,Manado,Rp 0
Facebook Marketplace,Kipas model AC Manado,Manado,Rp 123
Facebook Marketplace,HONDA BRIO TERBAIK DI NASIONAL 2024 Manado,Manado,Rp 19.000.000
Facebook Marketplace,Baru terdaftar Ready sepatu PDL TNI uk 40 & 41 Manado,Manado,Rp 1
Facebook Marketplace,1990 Honda Civic,"Airmadidi, Sulawesi Utara, Indonesia",Rp 12.345.678
Facebook Marketplace,Dijual Yamaha RX-King,"Remboken, Sulawesi Utara, Indonesia",Rp 5.000.000
Facebook Marketplace,Baru terdaftar SENSOR STIHL Manado,Manado,Rp 123
Facebook Marketplace,Baru terdaftar Impact isku 350 nm Manado,Manado,Rp 370
Facebook Marketplace,Rx king,"Ratahan, Sulawesi Utara, Indonesia",Rp 4.750.000
Facebook Marketplace,1979 Toyota Landcruiser,"Motoling, Sulawesi Utara, Indonesia",Rp 180.000.000
Facebook Marketplace,jual pangal suzuki satria 2 tak hiu lumba ru lscm,"Airmadidi, Sulawesi Utara, Indonesia",Rp 123.456
Facebook Marketplace,Baru terdaftar Padel Equipment Manado,Manado,Rp 35.000
Facebook Marketplace,Mixer Yamaha 12 Chanel Kota Tomohon,Manado,Rp 25
Facebook Marketplace,2013 Toyota 4Runner,"Tombatu, Sulawesi Utara, Indonesia",Rp 210.000.000
Facebook Marketplace,Spiker 15 inch +box planar,"Tumpaan, Sulawesi Utara, Indonesia",Rp 123
Facebook Marketplace,Ampli rusak se harga jo Manado,Manado,Rp 50
Facebook Marketplace,Mesin genset+stafol Manado,Manado,Rp 0
Facebook Marketplace,Baru setiap hari Manado,Manado,Rp 123
Facebook Marketplace,2023 Yamaha Mio m3 Manado,Manado,Rp 123.456
Facebook Marketplace,Baru terdaftar Skop pasir kucing Manado,Manado,Rp 0
Facebook Marketplace,BILIARD READY SIAP ANTAR,"Eris, Sulawesi Utara, Indonesia",Rp 2.500
Facebook Marketplace,velk ce 28 Manado,Manado,Rp 5.200.000
Facebook Marketplace,Npa veleg palang 1cri tukar doi jo,"Tombatu, Sulawesi Utara, Indonesia",Rp 300
Facebook Marketplace,Baru terdaftar 2021 Mitsubishi Xpander Manado,Manado,Rp 215.000.000
Facebook Marketplace,Gurinda Manado,Manado,Rp 0
